Date,Bullish,Neutral,Bearish,Total,Bullish 8-Week Mov Avg,Bull-Bear Spread,Bullish Average,Bullish Average + St. Dev,Bullish Average - St. Dev,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
2000-10-31,0.641,0.1795,0.1795,1.0,0.4964375,0.4615,0.384907436629,0.48829287048,0.281522002778,1408.47,1305.79,1396.93
2000-09-30,0.5333,0.4,0.0667,1.0,0.5347625,0.4666,0.384907436629,0.48829287048,0.281522002778,1467.77,1421.88,1448.72
2000-08-31,0.5588,0.2647,0.1765,1.0,0.5536,0.3823,0.384907436629,0.48829287048,0.281522002778,1513.47,1489.52,1506.45
2000-07-31,0.4286,0.3714,0.2,1.0,0.505325,0.2286,0.384907436629,0.48829287048,0.281522002778,1517.32,1477.91,1480.19
2000-06-30,0.2667,0.3333,0.4,1.0,0.3860625,-0.1333,0.384907436629,0.48829287048,0.281522002778,1488.93,1438.31,1441.48
2000-05-31,0.3492,0.2857,0.3651,1.0,0.4474,-0.0159,0.384907436629,0.48829287048,0.281522002778,1411.65,1361.09,1378.02
2000-04-30,0.6129,0.2419,0.1452,1.0,0.5445375,0.4677,0.384907436629,0.48829287048,0.281522002778,1482.94,1407.13,1452.43
2000-03-31,0.3889,0.1111,0.5,1.0,0.4501375,-0.1111,0.384907436629,0.48829287048,0.281522002778,1534.63,1474.63,1498.58
2000-02-29,0.4138,0.2759,0.3103,1.0,0.5084,0.1035,0.384907436629,0.48829287048,0.281522002778,1370.11,1329.15,1333.36
2000-01-31,0.537,0.2593,0.2037,1.0,0.591375,0.3333,0.384907436629,0.48829287048,0.281522002778,1454.09,1356.2,1360.16
1999-12-31,0.6,0.25,0.15,1.0,0.54875,0.45,0.384907436629,0.48829287048,0.281522002778,1473.1,1450.83,1469.25
1999-11-30,0.55,0.28,0.17,1.0,0.43,0.38,0.384907436629,0.48829287048,0.281522002778,1425.25,1399.18,1416.62
1999-10-31,0.38,0.38,0.24,1.0,0.37,0.14,0.384907436629,0.48829287048,0.281522002778,1373.17,1280.48,1362.93
1999-09-30,0.35,0.42,0.23,1.0,0.355,0.12,0.384907436629,0.48829287048,0.281522002778,1295.03,1256.26,1282.81
1999-08-31,0.35,0.4,0.25,1.0,0.4,0.1,0.384907436629,0.48829287048,0.281522002778,1382.84,1336.61,1348.27
1999-07-31,0.42,0.38,0.2,1.0,0.41125,0.22,0.384907436629,0.48829287048,0.281522002778,1370.39,1328.49,1328.72
1999-06-30,0.3,0.39,0.31,1.0,0.3875,-0.01,0.384907436629,0.48829287048,0.281522002778,1351.12,1308.47,1315.31
1999-05-31,0.38,0.42,0.2,1.0,0.4175,0.18,0.384907436629,0.48829287048,0.281522002778,1333.02,1277.31,1301.84
1999-04-30,0.41,0.32,0.27,1.0,0.39875,0.14,0.384907436629,0.48829287048,0.281522002778,1371.56,1314.58,1335.18
1999-03-31,0.38,0.33,0.29,1.0,0.41125,0.09,0.384907436629,0.48829287048,0.281522002778,1303.84,1256.43,1282.8
1999-02-28,0.37,0.39,0.24,1.0,0.4525,0.13,0.384907436629,0.48829287048,0.281522002778,1283.84,1225.01,1238.33
1999-01-31,0.47,0.33,0.2,1.0,0.44,0.27,0.384907436629,0.48829287048,0.281522002778,1280.37,1219.4,1279.64
1998-12-31,0.41,0.37,0.22,1.0,0.43375,0.19,0.384907436629,0.48829287048,0.281522002778,1244.93,1200.78,1229.23
1998-11-30,0.48,0.35,0.17,1.0,0.37625,0.31,0.384907436629,0.48829287048,0.281522002778,1192.97,1163.55,1192.33
